Team Alt Name,Opp Alt Name,GameID,Season,Week,Date,teamgame,Conf,BCS?,Team,W,L,TeamCoach,vs/@,oConf,oBCS?,Opp,oW,oL,OppCoach,OT?,Pts,oPts,diff,Res,W,L,cW,cL,O/U#,o/u,Spread,Sw/l,Bowl,Attend.,,APwk,wkAP,COwk,wkCO,BCSwk,wkBCS,pAP,pCO,fAP,fCO,AP,Apv,CO,Cov,BCS,w,l,Team,AP,Apv,CO,Cov,BCS,w,l,,pAP,pCO,fAP,fCO,AP,Apv,CO,Cov,BCS,w,l,Opp,AP,Apv,CO,Cov,BCS,w,l,,#Plays,ptspplay,ypplay,yprush,yppass,#Rush,Gain,Loss,NetRush,RushTD,#PassAtt,#PassComp,Int,PassYds,PassTD,Tot.Yds,#Rec.,RecYds,RecTD,#Punts,PuntYds,YardspPunt,PuntRet#,PuntRetYds,PuntRetTD,KORet#,KORetYds,KORetTD,Tot.TD,XPAtt,XPComp,X2Att,X2Comp,FGAtt,FGMade,Safeties,FDRush,FDPass,FDPen,Tot.FD,#Pen,PenYds,#Fumb,FumbLos,DPassInt,DPassIntRetYds,DPassIntRetTD,DFumRec,DFumRetYds,DFumRetTD,,#Plays,playppt,ypplay,yprush,yppass,#Rush,Gain,Loss,NetRush,RushTD,#PassAtt,#PassComp,Int,PassYds,PassTD,Tot.Yds,#Rec.,RecYds,RecTD,#Punts,PuntYds,YardspPunt,PuntRet#,PuntRetYds,PuntRetTD,KORet#,KORetYds,KORetTD,Tot.TD,XPAtt,XPComp,X2Att,X2Comp,FGAtt,FGMade,Safeties,FDRush,FDPass,FDPen,Tot.FD,#Pen,PenYds,#Fumb,FumbLos,DPassInt,DPassIntRetYds,DPassIntRetTD,DFumRec,DFumRetYds,DFumRetTD
Ball State,Southeast Missouri State,Ball St-SE Mizzou St,2010,1,9/2/10,1,MAC,non,Ball St,4,8,Stan Parrish,vs,zAA,zAA,SE Mizzou St,0,1,Tony Samuel,,27,10,17,W,1,0,0,0,42.5,u,-27.0,L,,"10,753",,0,1,0,1,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Ball St,NR,NR,NR,NR,NR,1,0,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,SE Mizzou St,NR,NR,NR,NR,NR,0,1,,72,0.4,4.6,4.4,5.0,55,259,16,243,3,17,10,1,85,0,328,10,85,0,3,151,50.3,2,10,0,3,85,0,3,3,3,0,0,2,2,0,18,5,0,23,7,47,2,0,0,0,0,0,0,0,,47,0.2,5.0,4.3,6.2,29,142,17,125,1,18,12,0,112,0,237,12,112,0,4,126,31.5,0,0,0,5,76,0,1,1,1,0,0,1,1,0,7,6,2,15,6,35,3,3,1,5,0,0,0,0
Southeast Missouri State,Ball State,Ball St-SE Mizzou St,2010,1,9/2/10,1,zAA,zAA,SE Mizzou St,0,1,Tony Samuel,@,MAC,non,Ball St,4,8,Stan Parrish,,10,27,-17,L,0,1,0,0,42.5,u,27.0,W,,"10,753",,0,1,0,1,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,SE Mizzou St,NR,NR,NR,NR,NR,0,1,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Ball St,NR,NR,NR,NR,NR,1,0,,47,0.2,5.0,4.3,6.2,29,142,17,125,1,18,12,0,112,0,237,12,112,0,4,126,31.5,0,0,0,5,76,0,1,1,1,0,0,1,1,0,7,6,2,15,6,35,3,3,1,5,0,0,0,0,,72,0.4,4.6,4.4,5.0,55,259,16,243,3,17,10,1,85,0,328,10,85,0,3,151,50.3,2,10,0,3,85,0,3,3,3,0,0,2,2,0,18,5,0,23,7,47,2,0,0,0,0,0,0,0
Buffalo,Rhode Island,Buffalo-Rhode Island,2010,1,9/2/10,1,MAC,non,Buffalo,2,10,Jeff Quinn,vs,zAA,zAA,Rhode Island,0,1,Joe Trainer,,31,0,31,W,1,0,0,0,53.0,u,-22.5,W,,"16,273",,0,1,0,1,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Buffalo,NR,NR,NR,NR,NR,1,0,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Rhode Island,NR,NR,NR,NR,NR,0,1,,70,0.4,6.0,3.3,7.9,28,108,17,91,0,42,25,1,332,4,423,25,332,4,7,294,42.0,3,43,0,1,18,0,4,4,4,0,0,1,1,0,7,14,2,23,4,20,2,1,1,22,0,0,0,0,,76,0.0,2.7,1.8,3.5,34,126,64,62,0,42,18,1,145,0,207,18,145,0,9,387,43.0,1,7,0,6,202,0,0,0,0,0,0,1,0,0,5,8,0,13,8,75,2,1,1,3,0,1,44,0
Rhode Island,Buffalo,Buffalo-Rhode Island,2010,1,9/2/10,1,zAA,zAA,Rhode Island,0,1,Joe Trainer,@,MAC,non,Buffalo,2,10,Jeff Quinn,,0,31,-31,L,0,1,0,0,53.0,u,22.5,L,,"16,273",,0,1,0,1,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Rhode Island,NR,NR,NR,NR,NR,0,1,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Buffalo,NR,NR,NR,NR,NR,1,0,,76,0.0,2.7,1.8,3.5,34,126,64,62,0,42,18,1,145,0,207,18,145,0,9,387,43.0,1,7,0,6,202,0,0,0,0,0,0,1,0,0,5,8,0,13,8,75,2,1,1,3,0,1,44,0,,70,0.4,6.0,3.3,7.9,28,108,17,91,0,42,25,1,332,4,423,25,332,4,7,294,42.0,3,43,0,1,18,0,4,4,4,0,0,1,1,0,7,14,2,23,4,20,2,1,1,22,0,0,0,0
Central Michigan,Hampton,C Michigan-Hampton,2010,1,9/2/10,1,MAC,non,C Michigan,3,9,Dan Enos,vs,zAA,zAA,Hampton,0,1,Rose Donovan,,33,0,33,W,1,0,0,0,51.0,u,-32.0,W,,"17,311",,0,1,0,1,,,43,49,NR,NR,43,2,49,1,NR,0,0,C Michigan,NR,NR,NR,NR,NR,1,0,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Hampton,NR,NR,NR,NR,NR,0,1,,78,0.4,5.5,4.0,7.2,42,198,30,168,3,36,22,0,259,1,427,22,259,1,4,153,38.3,2,28,0,1,81,0,4,4,4,0,0,4,1,0,11,12,3,26,5,45,1,0,1,0,0,0,0,0,,68,0.0,1.9,1.4,2.4,34,116,67,49,0,34,12,1,80,0,129,12,80,0,11,367,33.4,0,0,0,5,99,0,0,0,0,0,0,0,0,0,8,3,0,11,12,74,3,1,0,0,0,0,0,0
Hampton,Central Michigan,C Michigan-Hampton,2010,1,9/2/10,1,zAA,zAA,Hampton,0,1,Rose Donovan,@,MAC,non,C Michigan,3,9,Dan Enos,,0,33,-33,L,0,1,0,0,51.0,u,32.0,L,,"17,311",,0,1,0,1,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Hampton,NR,NR,NR,NR,NR,0,1,,43,49,NR,NR,43,2,49,1,NR,0,0,C Michigan,NR,NR,NR,NR,NR,1,0,,68,0.0,1.9,1.4,2.4,34,116,67,49,0,34,12,1,80,0,129,12,80,0,11,367,33.4,0,0,0,5,99,0,0,0,0,0,0,0,0,0,8,3,0,11,12,74,3,1,0,0,0,0,0,0,,78,0.4,5.5,4.0,7.2,42,198,30,168,3,36,22,0,259,1,427,22,259,1,4,153,38.3,2,28,0,1,81,0,4,4,4,0,0,4,1,0,11,12,3,26,5,45,1,0,1,0,0,0,0,0
Eastern Washington,Nevada,E Wash-Nevada,2010,1,9/2/10,1,zAA,zAA,E Wash,0,1,Beau Baldwin,@,WAC,non,Nevada,13,1,Chris Ault,,24,49,-25,L,0,1,0,0,68.0,o,28.0,L,,"16,313",,0,1,0,1,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,E Wash,NR,NR,NR,NR,NR,0,1,,NR,49,11,13,NR,NR,49,1,NR,0,0,Nevada,NR,NR,52,1,NR,1,0,,68,0.4,6.4,5.8,6.8,28,179,17,162,1,40,21,1,270,2,432,21,270,2,5,205,41.0,0,0,0,7,150,0,3,3,3,0,0,1,1,0,8,9,3,20,4,35,1,1,0,0,0,0,0,0,,82,0.6,6.7,4.9,8.9,44,229,15,214,5,38,27,0,339,2,553,27,339,2,4,201,50.3,3,33,0,3,97,0,7,7,7,0,0,0,0,0,10,14,0,24,9,90,1,1,1,0,0,1,16,0
Nevada,Eastern Washington,E Wash-Nevada,2010,1,9/2/10,1,WAC,non,Nevada,13,1,Chris Ault,vs,zAA,zAA,E Wash,0,1,Beau Baldwin,,49,24,25,W,1,0,0,0,68.0,o,-28.0,L,,"16,313",,0,1,0,1,,,NR,49,11,13,NR,NR,49,1,NR,0,0,Nevada,NR,NR,52,1,NR,1,0,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,E Wash,NR,NR,NR,NR,NR,0,1,,82,0.6,6.7,4.9,8.9,44,229,15,214,5,38,27,0,339,2,553,27,339,2,4,201,50.3,3,33,0,3,97,0,7,7,7,0,0,0,0,0,10,14,0,24,9,90,1,1,1,0,0,1,16,0,,68,0.4,6.4,5.8,6.8,28,179,17,162,1,40,21,1,270,2,432,21,270,2,5,205,41.0,0,0,0,7,150,0,3,3,3,0,0,1,1,0,8,9,3,20,4,35,1,1,0,0,0,0,0,0
Florida A&M,Miami (Florida),Florida A&M-Miami (FL),2010,1,9/2/10,1,zAA,zAA,Florida A&M,0,1,Joe Taylor,@,ACC,BCS,Miami (FL),7,6,Randy Shannon,,0,45,-45,L,0,1,0,0,57.0,u,41.0,W,,"53,674",,0,1,0,1,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Florida A&M,NR,NR,NR,NR,NR,0,1,,13,13,NR,NR,13,785,13,728,NR,0,0,Miami (FL),12,877,12,799,NR,1,0,,50,0.0,2.2,1.3,5.3,39,133,81,52,0,11,5,1,58,0,110,5,58,0,7,283,40.4,0,0,0,7,119,0,0,0,0,0,0,2,0,0,5,3,0,8,5,35,1,0,1,24,0,0,0,0,,62,0.7,6.5,4.3,9.6,36,191,36,155,2,26,19,1,250,3,405,19,250,3,0,0,0.0,3,32,0,1,34,0,6,6,6,0,0,1,1,0,11,11,1,23,7,45,1,0,1,22,1,0,0,0
Miami (Florida),Florida A&M,Florida A&M-Miami (FL),2010,1,9/2/10,1,ACC,BCS,Miami (FL),7,6,Randy Shannon,vs,zAA,zAA,Florida A&M,0,1,Joe Taylor,,45,0,45,W,1,0,0,0,57.0,u,-41.0,W,,"53,674",,0,1,0,1,,,13,13,NR,NR,13,785,13,728,NR,0,0,Miami (FL),12,877,12,799,NR,1,0,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Florida A&M,NR,NR,NR,NR,NR,0,1,,62,0.7,6.5,4.3,9.6,36,191,36,155,2,26,19,1,250,3,405,19,250,3,0,0,0.0,3,32,0,1,34,0,6,6,6,0,0,1,1,0,11,11,1,23,7,45,1,0,1,22,1,0,0,0,,50,0.0,2.2,1.3,5.3,39,133,81,52,0,11,5,1,58,0,110,5,58,0,7,283,40.4,0,0,0,7,119,0,0,0,0,0,0,2,0,0,5,3,0,8,5,35,1,0,1,24,0,0,0,0
